"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076680","MEXICO CITY, MX","2021-05-11",,,,
"MXM00076680","MEXICO CITY, MX","2021-05-12","80",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-13",,,,
"MXM00076680","MEXICO CITY, MX","2021-05-14",,,,
"MXM00076680","MEXICO CITY, MX","2021-05-15","75",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-16",,,,
"MXM00076680","MEXICO CITY, MX","2021-05-17","78",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-18","82",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-19",,,,
"MXM00076680","MEXICO CITY, MX","2021-05-20","82",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-21","81",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-22","81",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-23",,,,
"MXM00076680","MEXICO CITY, MX","2021-05-24","81",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-25","80",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-26","80",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-27","82",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-28","84",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-29","86",",,S","60",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-30","86",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-31",,,,
"MXM00076680","MEXICO CITY, MX","2021-06-01","84",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-03","76",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-05","76",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-06",,,,
"MXM00076680","MEXICO CITY, MX","2021-06-07","83",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-08",,,,
"MXM00076680","MEXICO CITY, MX","2021-06-09","85",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-10","82",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-11","77",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-12","71",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-13","72",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-15","71",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-16",,,,
"MXM00076680","MEXICO CITY, MX","2021-06-17","75",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-18","71",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-22","84",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-24","73",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-26","72",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-28","70",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-29","76",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-06-30",,,,
"MXM00076680","MEXICO CITY, MX","2021-07-01","68",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-02","71",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-03","77",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-04","73",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-07-05",,,,
